document,file,proof_layer_id,control,nist_800_53_r5,risk,covered,n_keywords_matched,n_keywords_total,matched_keywords,hits_near_negation,snippet_1,snippet_2
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-10,Incident Response Plan,IR-1,HIGH,1,1,6,security incident,0,thorized devices to a jis system. • requirements for notifying the jis information security officer within two business days of a security incident on the network. network maryland-provided internet and swgi connections all maryland judiciary connections utilizing the maryland,
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-11,Incident Reporting,IR-6,HIGH,0,0,5,,0,,
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-12,Risk Assessment,RA-3,HIGH,1,3,6,risk assessment; risk register; vulnerability assessment,0,"ve and maintain an acceptable level of risk. • in addition, the judiciary will utilize third party services to conduct a security risk assessment every two (2) years. the assessment shall be performed by an independent third party with cybersecurity expertise to determine wh"," • employ the appropriate measures to assure and demonstrate compliance with this policy. • conduct regular external and internal vulnerability assessments to verify security controls are working properly and to identify risks. • assure the confidentiality, integrity, availability, a"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,1,2,6,patch management; penetration test,0,nly. • install all virtualization software updates as they are released by the vendor on a regularly scheduled basis. centralized patch management solutions can also be used to administer updates. • restrict administrative access to all virtualization management interfaces. •,"ards are in place for it assets, the judiciary shall utilize security frameworks, tools and techniques to perform assessments and penetration tests for security weaknesses, threats and vulnerabilities and recommend appropriate, cost-effective controls to achieve and maintain "
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,0,0,6,,0,,
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,1,2,6,data at rest; encryption at rest,0,"copies. • at a minimum backup shall be replicated to an offsite secured data center. • backup copies must include protection with encryption at rest and inflight. • backup restoration tests shall be completed regularly to check the confidentiality, integrity, and availability o","omprehensive approach covering people, processes, and systems that identify, monitor, and protect data in use, data in motion and data at rest. dlp controls are based on policy and include classifying sensitive data, discovering that data across an enterprise, enforcing c"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,1,7,firewall,0,e that only authorized traffic is permitted. • enable intrusion detection and prevention systems on each interface. • monitor the firewall logs for each connection. • prohibit direct external access to high-risk or frequently abused network protocols. • high-risk and ,
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,1,2,5,security education; security training,0," and awareness training program, to include phishing campaigns. the program must have the ability to track completion of required security training assignments and report on non-compliance. the formal program must also include learning opportunities for users to independently ",. 9 section 6: operational level controls ................................................................................. 9 6.1 security education and awareness ............................................................................................................ 9 6.2 
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,1,1,5,clearance,0,iary must: • secure it areas with controls commensurate to the risks • ensure secure storage of media • obtain personnel security clearances where appropriate physical access controls must be in place for the following: • data centers • areas containing production serv,
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,4,7,backup; business continuity; recovery; rpo,0,elopment life cycle methodology ......................................................................................... 13 6.11 backup plans ...........................................................................................................................,"andards and covers cybersecurity functional areas that offers guidance on the identification, protection, detection, response and recovery mechanisms used to protect an organization’s infrastructure and assets. cis is an independent not-for-profit organization that de"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,1,3,5,bcp; business continuity plan; contingency plan,0," controls. operational security controls include awareness and education, configuration management, service interface agreements, contingency planning, incident response, maintenance, media protection, physical and personnel security, system and information integrity, and sys","or compromise the confidentiality, integrity, or availability of business operations. • ensure the jis business continuity plans (bcp) and disaster preparedness (dp) plans for critical jis systems are reviewed, updated and exercised (tested) annually. • review an"
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,1,1,6,third party,0,"propriate, cost-effective controls to achieve and maintain an acceptable level of risk. • in addition, the judiciary will utilize third party services to conduct a security risk assessment every two (2) years. the assessment shall be performed by an independent third par",
MD Judicial Info Security Policy,MD_Judicial_InfoSecurity_Policy.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,1,1,5,media sanitization,0,"ossibility of inadvertently releasing residual judiciary confidential information, the judiciary will have a formal procedure for media sanitization. 6.8 physical and personnel security physical access to information technology processing equipment, media storage areas, and mas",
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,1,1,4,access policy,1,d proprietary information all state owned mobile and it devices that connect to the internal network must comply with the minimum access policy (see definitions). personal devices are not allowed to be connected to the internal network and can only access the guest wifi ne,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-02,Account Management,AC-2,HIGH,0,0,7,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,2,7,least privilege; permissions,0," system designed for sharing information within organizations. minimum access policy — this is based on the security principle of least privilege. it gives minimum access permissions to a user to access an internal network, systems, servers, or databases depending on their w","within organizations. minimum access policy — this is based on the security principle of least privilege. it gives minimum access permissions to a user to access an internal network, systems, servers, or databases depending on their work or job role. elevated privileges "
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,1,7,authentication,0,"illegal. the appropriate management should be consulted prior to export of any material that is in question. • circumventing user authentication or security of any account, host, or network, including disclosing a user’s password to others or allowing a user’s account to be",
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,1,1,6,remote access,0,"whenever possible, msde must retain author’s rights in contracts, mous, software, or other publications. remote work requirements remote access acceptable use policies and guidelines must be followed when users conduct daily duties from state equipment. unencrypted protect",
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,0,0,5,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,2,5,cab; change control,0,"er. a service ticket to the maryland state department of it service desk may need to be submitted and the request reviewed by the change control board prior to approval. also, please see prohibited uses section and high-risk use of ai systems section in msde’s “artificial i","sde to develop, implement, and maintain a resilient and secure cyberspace for the department. this policy is consistent with applicable state and federal laws, executive orders, directives, regulations, standards, and guidance. smmh!, r�-a,,,,,�;.,,a,, oct _17, 2"
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,2,7,logging; monitoring,0,"res, as well as local, state, and federal laws. all information created, accessed, transmitted, received, or stored is subject to logging, and monitoring. msde reserves the right to examine, copy, or archive any or all files, transmissions, or email. msde reserves th","as local, state, and federal laws. all information created, accessed, transmitted, received, or stored is subject to logging, and monitoring. msde reserves the right to examine, copy, or archive any or all files, transmissions, or email. msde reserves the right to acces"
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,0,0,6,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-10,Incident Response Plan,IR-1,HIGH,0,0,6,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-11,Incident Reporting,IR-6,HIGH,0,0,5,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-12,Risk Assessment,RA-3,HIGH,0,0,6,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,0,0,6,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,1,2,6,https; ssl,0,"msde it systems should also familiarize themselves with applicable state information technology policy and standards, located at: https://doit.maryland.gov/documents/maryland%20it%20security%20manual%20v1.2.pdf electronic communications msde encourages the use of d"," in blogging or media posts. if an employee is expressing his or her beliefs and/or opinions in blogs, the employee may not, expressly, or implicitly, represent themselves as an employee or representative of msde. employees assume all risk associated with bloggin"
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,0,0,6,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,1,1,7,firewall,0," access, via the msde systems, to obtain unauthorized access to information or computer systems residing inside or outside of the firewall (see definitions). • any unauthorized attempt or actual copying of any copyrighted computer data or software unless authorized by",
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,0,0,5,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,0,0,5,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,3,7,backup; rpo; rto,1,"s. • any attempt to use electronic mail or messaging services to harass or intimidate another person. • using system resources to backup personal data such as videos, pictures, or music. • engaging in any other activity that does not comply with this policy and proc"," affiliated with the maryland state department of education (“msde” or department), and/or the state of maryland (“state”). the purpose of this policy is to explain the ownership and responsibilities of the communications created, accessed, transmitted, received,"
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,0,0,5,,0,,
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,1,1,6,third party,0,"rmation stored on electronic and computing devices whether owned, leased or otherwise affiliated with the msde, the employee or a third party, remains the sole property of msde. the user must ensure through legal or technical means that proprietary information is protect",
MD MSDE Acceptable Use Policy 2024,MD_MSDE_AUP_2024.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,0,0,5,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-01,Access Control Policy & Procedures,AC-1,HIGH,0,0,4,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-02,Account Management,AC-2,HIGH,0,0,7,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-03,Least Privilege / Role-Based Access,AC-6,HIGH,1,1,7,roles,0,onsibilities the procurement officer should confirm that each member of the evaluation committee is able to perform the following roles and responsibilities to conduct the initial evaluation: ● maintain confidentiality throughout the procurement; o do not disclose ,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-04,Multi-Factor Authentication (MFA),IA-2,HIGH,1,1,7,cac,0,"imum of 10 days before the written expressions of interest are due. notice shall be sent to all potential providers including advocacy organizations. when a contract is expected to exceed $50,000, the reoi shall be published on emma. as a need for the services ar",
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-05,Remote Access Controls,AC-17,MEDIUM,0,0,6,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-06,Configuration Management Policy,CM-1,HIGH,0,0,5,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-07,Change Management / Change Control,CM-3,MEDIUM,1,1,5,cab,0,"f state procurement. to the extent that any policy, procedure, or guideline conflicts with division ii of the sfp, any other applicable statute or state procurement regulation, the statute or regulation shall prevail. the manual contents applies to state agencies",
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-08,Audit Logging & Monitoring,AU-2,HIGH,1,1,7,monitoring,0,"ction 8, contract administration process, focuses on post-contract award activities including kick-off meetings with contractors, monitoring of contractor performance, tools for contract compliance, payments for goods or services received, contract renewal options and m",
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-09,Audit Review & Alerting,AU-6,HIGH,0,0,6,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-10,Incident Response Plan,IR-1,HIGH,0,0,6,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-11,Incident Reporting,IR-6,HIGH,0,0,5,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-12,Risk Assessment,RA-3,HIGH,0,0,6,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-13,Vulnerability Scanning,RA-5,HIGH,0,0,6,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-14,Data Encryption in Transit,SC-8,HIGH,1,1,6,https,0,gister” for emma link on the state’s procurement website: http://procurement.maryland.gov or directly through the following link: https://emaryland.buyspeed.com/bso/ note: for some maryland department of transportation (mdot) construction and maintenance solicitati,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-15,Data Encryption at Rest,SC-28,HIGH,0,0,6,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-16,Network Segmentation,SC-7,MEDIUM,0,0,7,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-17,Security Awareness Training,AT-2,MEDIUM,0,0,5,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-18,Personnel Screening / Background Checks,PS-3,MEDIUM,1,1,5,clearance,1,"ess in the state and is in good standing. in addition, the procurement officer must obtain through the comptroller’s office a tax clearance number. in the event that a deficiency is noted by either agency, the recommended awardee may be given the opportunity to correct",
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-19,Backup & Recovery,CP-9,HIGH,1,2,7,backup; rpo,1,48 comar 21.05.03.03.e 49 cancel the solicitation in a procurement officer’s determination. this determination and any associated backup documentation should be included in the procurement file. b. notice to vendors - the procurement officer shall issue a notice of ,ns or comments regarding the manual to jamie tomaszewski. 1.2 general overview 1.2.1 state procurement principles the principal purposes and policies of maryland state procurement are as follows: 1 this manual does not review the maryland minority business enterp
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-20,Contingency / Disaster Recovery Plan,CP-2,HIGH,0,0,5,,0,,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-21,Third-Party / Vendor Risk Management,SR-1,MEDIUM,1,1,6,third party,0,he solicitation 4. solicitation preparation 4.1 drafting the solicitation maryland procurement manual table of contents 4.2 using third party consultant contracts 4.3 procurement review group 4.4 review and approval process 5. solicitation 5.1 public advertisement and no,
MD Procurement Manual,MD_Procurement_Manual.pdf,PL-22,Media Sanitization,MP-6,MEDIUM,0,0,5,,0,,
